고객ID,성별,결제수단,거주지,회원등급,만족도,최근접속시간(시),선호제품군_적정온도,나이,구매수량,총결제금액
CUST_0174,여성,간편결제,대구,VIP,5,5,19.7,69,6,887937
CUST_0175,기타,신용카드,부산,Bronze,3,22,16.2,50,13,105242
CUST_0176,기타,간편결제,대구,VVIP,5,11,18.6,40,38,420926
CUST_0177,여성,간편결제,경기,Bronze,4,7,11.5,43,39,64208
CUST_0178,남성,휴대폰결제,서울,VVIP,4,16,19.5,30,21,79926
CUST_0179,기타,간편결제,광주,VVIP,1,6,15.1,57,12,30438
CUST_0180,남성,휴대폰결제,부산,Gold,3,15,14.5,59,10,88232
CUST_0181,여성,신용카드,서울,VVIP,5,18,20.9,25,19,403531
CUST_0182,기타,휴대폰결제,경기,Bronze,2,2,27.0,69,44,644854
CUST_0183,여성,계좌이체,서울,Bronze,4,4,24.6,70,15,481811
CUST_0184,여성,휴대폰결제,대구,Silver,3,23,12.1,37,38,839634
CUST_0185,남성,휴대폰결제,서울,Gold,1,6,15.1,37,6,834535
CUST_0186,여성,휴대폰결제,광주,Gold,5,3,24.7,21,10,142600
CUST_0187,기타,휴대폰결제,부산,VIP,3,17,15.1,50,32,110276
CUST_0188,기타,계좌이체,부산,VVIP,3,21,18.9,60,20,448750
CUST_0189,여성,휴대폰결제,대구,Gold,1,3,22.8,20,38,856564
CUST_0190,여성,신용카드,대구,VVIP,1,22,15.2,49,46,644702
CUST_0191,여성,신용카드,경기,VIP,3,11,20.5,35,47,805226
CUST_0192,남성,계좌이체,경기,VIP,4,20,13.3,31,28,492791
CUST_0193,남성,간편결제,대구,VVIP,1,10,17.0,43,45,956826
CUST_0194,남성,간편결제,대구,Silver,2,7,21.6,53,20,388173
CUST_0195,기타,신용카드,서울,Bronze,5,12,12.0,55,18,946856
CUST_0196,기타,계좌이체,광주,Silver,1,22,22.2,21,37,631099
CUST_0197,기타,휴대폰결제,광주,VVIP,4,18,19.9,61,13,780297
CUST_0198,여성,간편결제,광주,Gold,5,15,22.8,28,2,810488
CUST_0199,여성,간편결제,대구,Silver,5,20,21.1,46,6,967254
CUST_0200,기타,휴대폰결제,광주,VIP,4,20,26.8,25,10,132062
CUST_0201,기타,휴대폰결제,경기,VVIP,1,17,20.6,67,47,523600
CUST_0202,여성,간편결제,경기,VIP,1,16,17.9,56,42,675550
CUST_0203,여성,휴대폰결제,부산,VIP,5,18,20.6,42,41,102721
CUST_0204,기타,휴대폰결제,대구,VIP,2,5,22.7,47,14,104901
CUST_0205,남성,휴대폰결제,부산,Bronze,3,19,20.2,61,3,629026
CUST_0206,기타,간편결제,경기,VVIP,1,6,20.2,21,7,819340
CUST_0207,여성,휴대폰결제,부산,VVIP,4,19,16.5,49,1,891480
CUST_0208,기타,간편결제,경기,Gold,3,22,16.7,28,19,91555
CUST_0209,남성,신용카드,경기,Gold,2,6,13.0,42,45,348315
CUST_0210,남성,휴대폰결제,서울,Bronze,4,11,28.7,53,41,670793
CUST_0211,기타,간편결제,부산,Silver,2,12,13.8,37,18,398082
CUST_0212,기타,간편결제,대구,Bronze,3,9,16.5,39,28,335413
CUST_0213,여성,휴대폰결제,대구,Bronze,1,19,16.4,48,18,312898
CUST_0214,기타,간편결제,부산,Bronze,1,12,24.5,24,7,338700
CUST_0215,여성,계좌이체,서울,Bronze,1,13,18.5,55,43,421526
CUST_0216,남성,계좌이체,경기,VVIP,2,23,26.2,43,20,432514
CUST_0217,남성,간편결제,대구,Bronze,2,21,16.6,28,13,860702
CUST_0218,여성,계좌이체,부산,Silver,1,18,21.4,65,24,79138
CUST_0219,여성,휴대폰결제,부산,Silver,5,8,15.8,66,21,357274
CUST_0220,여성,휴대폰결제,부산,VVIP,4,6,30.7,20,1,263600
CUST_0221,남성,신용카드,광주,Bronze,2,6,14.1,30,3,842777
CUST_0222,여성,계좌이체,경기,Silver,5,12,21.5,36,47,251327
CUST_0223,남성,간편결제,경기,Silver,4,12,23.2,46,23,683424
CUST_0224,기타,신용카드,광주,Gold,3,11,22.1,52,37,383679
CUST_0225,남성,계좌이체,경기,Gold,4,7,19.1,60,9,859661
CUST_0226,남성,계좌이체,대구,Gold,4,13,19.4,24,24,832267
CUST_0227,남성,휴대폰결제,대구,VIP,2,22,20.2,24,9,899536
CUST_0228,기타,간편결제,부산,Silver,2,20,19.3,30,6,533044
CUST_0229,여성,신용카드,대구,VVIP,1,11,24.8,57,4,537871
CUST_0230,남성,신용카드,광주,VVIP,4,2,31.1,34,41,353706
CUST_0231,남성,계좌이체,부산,Silver,3,15,17.2,42,30,443024
CUST_0232,여성,신용카드,경기,Gold,1,2,13.2,25,17,141976
CUST_0233,여성,휴대폰결제,서울,Silver,1,15,19.6,29,42,950130
CUST_0234,여성,신용카드,경기,VIP,2,0,32.9,24,45,574234
CUST_0235,여성,간편결제,부산,VIP,4,23,16.0,48,43,119507
CUST_0236,남성,휴대폰결제,서울,VVIP,1,13,28.2,36,28,169179
CUST_0237,기타,휴대폰결제,경기,Gold,5,1,28.4,53,40,130391
CUST_0238,여성,신용카드,대구,Gold,5,11,17.2,54,33,983479
CUST_0239,여성,휴대폰결제,광주,Bronze,1,10,22.8,54,46,937236
CUST_0240,기타,간편결제,광주,Silver,1,19,28.1,62,12,743786
CUST_0241,남성,간편결제,광주,Bronze,2,6,18.1,69,49,381828
CUST_0242,기타,간편결제,광주,Silver,3,11,19.0,38,34,659594
CUST_0243,여성,휴대폰결제,경기,VVIP,1,6,17.1,46,39,30382
CUST_0244,여성,신용카드,대구,Bronze,2,2,14.9,23,35,241937
CUST_0245,여성,계좌이체,서울,Bronze,3,21,16.8,53,21,978561
CUST_0246,기타,신용카드,부산,Silver,3,13,13.9,20,27,162067
CUST_0247,기타,신용카드,서울,Gold,5,14,20.2,51,43,542991
CUST_0248,여성,휴대폰결제,광주,VVIP,5,19,16.2,38,45,131418
CUST_0249,여성,간편결제,경기,Gold,5,18,21.2,61,7,111948
CUST_0250,기타,계좌이체,경기,Bronze,5,19,12.2,25,10,129760
CUST_0251,기타,간편결제,서울,VIP,2,20,21.7,53,24,95596
CUST_0252,여성,간편결제,대구,Silver,1,23,24.2,38,47,912139
CUST_0253,남성,신용카드,부산,VIP,3,20,10.0,29,47,639894
CUST_0254,남성,간편결제,대구,VIP,3,10,21.9,66,6,398129
CUST_0255,여성,간편결제,부산,Bronze,4,12,26.1,54,17,176924
CUST_0256,남성,계좌이체,광주,Bronze,2,21,14.0,55,13,207634
CUST_0257,기타,계좌이체,서울,Bronze,1,20,28.4,67,7,918179
CUST_0258,남성,계좌이체,서울,Silver,5,12,22.1,62,27,766617
CUST_0259,남성,휴대폰결제,광주,VVIP,2,9,16.5,29,43,627971
CUST_0260,여성,간편결제,서울,Gold,4,20,19.7,55,45,412688
CUST_0261,기타,계좌이체,광주,Bronze,5,8,22.8,54,31,771199
CUST_0262,남성,휴대폰결제,광주,VIP,5,18,20.4,55,7,595135
CUST_0263,기타,휴대폰결제,대구,Gold,3,14,22.7,60,27,787325
CUST_0264,남성,신용카드,서울,VIP,5,18,15.4,57,9,157269
CUST_0265,기타,신용카드,경기,VIP,3,20,20.8,56,1,225462
CUST_0266,여성,간편결제,광주,VVIP,3,11,12.9,46,50,438273
CUST_0267,여성,간편결제,광주,Bronze,5,1,19.4,27,44,430042
CUST_0268,여성,휴대폰결제,서울,VIP,4,17,15.5,58,14,528488
CUST_0269,기타,휴대폰결제,서울,Gold,5,5,16.3,53,33,917568
CUST_0270,여성,신용카드,광주,Silver,1,5,26.2,52,9,282828
CUST_0271,남성,신용카드,광주,VIP,2,21,25.5,26,41,121040
CUST_0272,여성,휴대폰결제,부산,VIP,3,5,23.0,53,32,797258
CUST_0273,여성,계좌이체,광주,Gold,3,9,14.5,69,45,109743
CUST_0274,기타,계좌이체,경기,Gold,4,15,18.4,68,24,486897
CUST_0275,여성,신용카드,부산,VIP,4,0,26.1,69,15,47870
CUST_0276,여성,휴대폰결제,대구,Bronze,4,21,20.7,19,47,802534
CUST_0277,남성,휴대폰결제,대구,Bronze,1,4,31.6,54,17,689731
CUST_0278,여성,휴대폰결제,부산,Bronze,4,2,22.0,19,7,710632
CUST_0279,여성,계좌이체,광주,Gold,4,5,21.0,28,6,326155
CUST_0280,남성,휴대폰결제,부산,Silver,5,2,18.5,21,24,363792
CUST_0281,남성,신용카드,광주,Gold,1,5,20.7,27,32,517220
CUST_0282,기타,간편결제,대구,Silver,5,1,19.2,49,32,389792
CUST_0283,남성,간편결제,경기,Gold,1,5,23.5,46,26,947235
CUST_0284,남성,간편결제,경기,Silver,2,17,24.8,45,32,635363
CUST_0285,남성,간편결제,경기,Silver,4,5,16.1,65,15,838749
CUST_0286,남성,휴대폰결제,서울,VVIP,2,11,13.3,22,27,807212
CUST_0287,기타,간편결제,부산,Bronze,4,20,10.8,60,43,748046
CUST_0288,남성,휴대폰결제,부산,VVIP,2,9,22.5,57,42,495768
CUST_0289,여성,간편결제,광주,Silver,1,15,14.5,52,42,703605
CUST_0290,남성,휴대폰결제,경기,VIP,5,23,9.2,69,34,536724
CUST_0291,기타,간편결제,부산,VIP,2,7,21.9,23,12,199637
CUST_0292,남성,신용카드,서울,Silver,2,22,32.5,40,6,385484
CUST_0293,여성,신용카드,대구,VIP,3,22,20.0,32,38,815237
CUST_0294,남성,휴대폰결제,대구,Bronze,1,0,24.2,70,19,614433
CUST_0295,남성,휴대폰결제,서울,Bronze,1,4,20.4,51,30,708242
CUST_0296,기타,신용카드,광주,Gold,3,14,19.5,44,30,685019
CUST_0297,여성,휴대폰결제,서울,Gold,3,5,24.6,53,44,706287
CUST_0298,기타,간편결제,서울,VIP,3,14,18.5,31,14,707565
CUST_0299,남성,휴대폰결제,대구,VIP,2,21,21.3,70,12,138430
CUST_0300,기타,간편결제,광주,Bronze,4,21,21.6,70,36,14547
CUST_0301,남성,계좌이체,광주,Gold,3,5,16.7,30,26,494631
CUST_0302,남성,휴대폰결제,서울,Bronze,2,17,25.0,52,37,132449
CUST_0303,기타,신용카드,대구,Gold,5,15,19.1,23,14,821680
CUST_0304,기타,계좌이체,경기,Bronze,4,3,16.2,47,43,581384
CUST_0305,여성,휴대폰결제,서울,VIP,5,15,22.7,27,41,744516
CUST_0306,남성,신용카드,대구,Silver,4,11,15.5,37,42,585564
CUST_0307,남성,계좌이체,광주,Bronze,4,23,20.1,65,29,869502
CUST_0308,남성,신용카드,서울,VVIP,1,17,20.0,58,39,928612
CUST_0309,남성,간편결제,경기,Silver,4,22,25.4,34,17,720969
CUST_0310,기타,신용카드,서울,VIP,4,3,22.4,70,45,995766
CUST_0311,남성,간편결제,경기,Bronze,3,20,19.9,41,7,723113
CUST_0312,여성,휴대폰결제,경기,VVIP,1,3,24.1,25,43,306304
CUST_0313,여성,신용카드,경기,Silver,3,6,27.0,57,32,777209
CUST_0314,여성,신용카드,광주,Bronze,3,20,22.8,34,11,436785
CUST_0315,기타,신용카드,서울,Bronze,1,19,20.1,35,50,736307
CUST_0316,기타,간편결제,광주,VIP,4,8,13.4,58,14,522525
CUST_0317,기타,휴대폰결제,대구,Gold,1,5,14.7,29,27,825304
CUST_0318,남성,간편결제,경기,Gold,3,16,18.5,35,22,936529
CUST_0319,기타,계좌이체,서울,Silver,2,17,17.0,56,25,952519
CUST_0320,여성,휴대폰결제,광주,VVIP,1,6,19.1,37,1,616766
CUST_0321,기타,간편결제,대구,VVIP,2,0,20.3,26,28,247163
CUST_0322,여성,휴대폰결제,광주,Bronze,3,21,22.6,23,1,427925
CUST_0323,남성,간편결제,대구,Gold,2,9,19.6,66,18,670439
CUST_0324,기타,신용카드,서울,VVIP,2,17,22.4,44,4,384181
CUST_0325,기타,계좌이체,경기,Gold,5,22,20.3,54,21,971312
CUST_0326,남성,휴대폰결제,경기,Gold,3,15,10.1,43,43,573387
CUST_0327,남성,휴대폰결제,광주,VIP,1,8,15.3,30,14,217784
CUST_0328,여성,간편결제,광주,Silver,3,12,19.3,43,13,151667
CUST_0329,여성,간편결제,대구,Bronze,2,3,14.0,63,36,512127
CUST_0330,여성,휴대폰결제,대구,Silver,4,9,23.0,28,32,535940
CUST_0331,남성,계좌이체,부산,Silver,1,17,27.7,56,13,591378
CUST_0332,남성,신용카드,서울,VVIP,4,15,26.1,35,33,162676
CUST_0333,기타,계좌이체,서울,VVIP,2,5,18.9,22,49,516481
CUST_0334,기타,휴대폰결제,대구,VIP,3,23,27.5,41,26,108027
CUST_0335,여성,휴대폰결제,부산,VIP,5,6,20.7,62,31,319000
CUST_0336,여성,휴대폰결제,광주,VVIP,4,2,18.3,55,38,912094
CUST_0337,기타,간편결제,광주,Bronze,3,5,16.9,34,14,182105
CUST_0338,여성,계좌이체,대구,Gold,2,1,18.5,55,45,824294
CUST_0339,남성,신용카드,광주,Gold,1,19,18.1,41,46,752489
CUST_0340,여성,계좌이체,광주,VIP,1,14,20.9,65,36,616743
CUST_0341,여성,휴대폰결제,대구,Gold,5,3,20.8,51,26,647861
CUST_0342,남성,신용카드,광주,Gold,5,4,20.0,41,43,556250
CUST_0343,기타,신용카드,경기,VVIP,1,19,22.2,47,9,16588
CUST_0344,기타,휴대폰결제,대구,Gold,5,18,26.0,41,32,415792
CUST_0345,남성,계좌이체,부산,Gold,1,17,24.7,32,44,258255
CUST_0346,기타,신용카드,대구,Gold,5,3,12.6,69,42,19250
CUST_0347,남성,간편결제,광주,Silver,1,19,7.2,42,39,632846
CUST_0348,여성,휴대폰결제,대구,Gold,5,8,24.7,49,15,317668
CUST_0349,여성,계좌이체,대구,Silver,3,8,13.2,43,5,675208
CUST_0350,여성,신용카드,광주,Silver,3,8,18.9,36,22,476055
CUST_0351,여성,간편결제,서울,Silver,1,15,14.1,30,14,802581
CUST_0352,남성,계좌이체,부산,Bronze,1,4,11.0,48,37,457842
CUST_0353,남성,신용카드,경기,Gold,5,13,22.7,28,40,467185
CUST_0354,기타,휴대폰결제,대구,VVIP,3,21,23.8,22,6,416267
CUST_0355,여성,신용카드,대구,Silver,5,17,17.1,40,45,166206
CUST_0356,남성,간편결제,경기,Silver,5,13,7.0,66,44,275099
CUST_0357,여성,신용카드,부산,Silver,3,1,17.3,65,4,135176
CUST_0358,여성,휴대폰결제,서울,VIP,3,3,22.0,62,31,378578
CUST_0359,기타,신용카드,광주,Bronze,4,13,12.6,22,40,633325
CUST_0360,기타,계좌이체,대구,Gold,3,17,20.9,51,41,618796
